attendance,away_final_score,away_team,date,elapsed_time,g_id,home_final_score,home_team,start_time,umpire_1B,umpire_2B,umpire_3B,umpire_HP,venue_name,weather,wind,delay
31836,6,lan,2016-05-20,205,201600618,7,sdn,7:42 PM,Chris Guccione,David Rackley,Larry Vanover,Alfonso Marquez,Petco Park,"60 degrees, partly cloudy","11 mph, L to R",0
36239,2,mil,2016-05-20,151,201600619,3,nyn,7:11 PM,Adrian Johnson,Gary Cederstrom,Lance Barksdale,Jim Wolf,Citi Field,"69 degrees, clear","12 mph, Out to LF",0
28235,8,nya,2016-05-20,193,201600620,3,oak,6:38 PM,Pat Hoberg,Brian Knight,Todd Tichenor,Bill Miller,Oakland Coliseum,"59 degrees, cloudy","22 mph, Out to RF",0
20435,8,sea,2016-05-20,190,201600621,3,cin,7:55 PM,Tony Randazzo,Dan Bellino,Adam Hamari,Tom Hallion,Great American Ball Park,"59 degrees, rain","7 mph, R to L",45
30304,7,tba,2016-05-20,206,201600622,5,det,7:10 PM,Ron Kulpa,Paul Nauert,Chris Conroy,Jerry Meals,Comerica Park,"68 degrees, cloudy","9 mph, Out to RF",0
28724,2,tex,2016-05-20,153,201600623,1,hou,7:11 PM,CB Bucknor,Fieldin Culbreth,Jim Reynolds,Nic Lentz,Minute Maid Park,"82 degrees, clear","9 mph, In from LF",0
29396,9,tor,2016-05-20,168,201600624,3,min,7:11 PM,Toby Basner,Mark Ripperger,Joe West,Andy Fletcher,Target Field,"73 degrees, partly cloudy","6 mph, R to L",0
20017,4,was,2016-05-20,173,201600625,1,mia,7:11 PM,Mike Everitt,Tim Timmons,Mike Estabrook,Paul Emmel,Marlins Park,"77 degrees, roof closed","0 mph, None",0
45117,2,ari,2016-05-21,173,201600626,6,sln,3:05 PM,Mark Wegner,Marty Foster,Mike Muchlinski,Mike Winters,Busch Stadium,"76 degrees, partly cloudy","9 mph, Out to RF",0
20196,2,atl,2016-05-21,176,201600627,0,phi,3:07 PM,Rob Drake,Carlos Torres,Sam Holbrook,Gerry Davis,Citizens Bank Park,"60 degrees, cloudy","11 mph, R to L",0
40137,3,bal,2016-05-21,188,201600628,1,ana,7:08 PM,Bob Davidson,Lance Barrett,John Tumpane,Dale Scott,Angel Stadium of Anaheim,"65 degrees, clear","11 mph, Out to CF",0
41507,3,chn,2016-05-21,197,201600629,5,sfn,4:15 PM,Ed Hickox,Dana DeMuth,Jordan Baker,Greg Gibson,AT&T Park,"61 degrees, cloudy","14 mph, Out to CF",0
37254,1,cle,2016-05-21,197,201600630,9,bos,4:06 PM,Marvin Hudson,James Hoye,Chad Fairchild,Jim Joyce,Fenway Park,"70 degrees, cloudy","15 mph, Out to LF",0
31352,5,col,2016-05-21,182,201600631,1,pit,5:01 PM,Jeff Nelson,Ben May,Cory Blaser,Doug Eddings,PNC Park,"55 degrees, overcast","2 mph, In from LF",56
27631,2,kca,2016-05-21,185,201600632,1,cha,1:11 PM,Scott Barry,Jerry Layne,Hunter Wendelstedt,Gabe Morales,U.S. Cellular Field,"71 degrees, partly cloudy","12 mph, Out to RF",0
40221,2,lan,2016-05-21,219,201600633,3,sdn,7:12 PM,David Rackley,Larry Vanover,Alfonso Marquez,Chris Guccione,Petco Park,"62 degrees, partly cloudy","8 mph, L to R",0
39688,4,mil,2016-05-21,189,201600634,5,nyn,4:11 PM,Gary Cederstrom,Lance Barksdale,Jim Wolf,Adrian Johnson,Citi Field,"63 degrees, cloudy","12 mph, In from RF",0
26356,5,nya,2016-05-21,166,201600635,1,oak,1:07 PM,Brian Knight,Todd Tichenor,Bill Miller,Pat Hoberg,Oakland Coliseum,"65 degrees, cloudy","16 mph, Out to RF",0
38200,4,sea,2016-05-21,172,201600636,0,cin,4:12 PM,Dan Bellino,Adam Hamari,Tom Hallion,Tony Randazzo,Great American Ball Park,"63 degrees, cloudy","14 mph, Out to RF",0
32316,4,tba,2016-05-21,178,201600637,5,det,4:10 PM,Paul Nauert,Chris Conroy,Jerry Meals,Ron Kulpa,Comerica Park,"69 degrees, cloudy","11 mph, L to R",0
35040,2,tex,2016-05-21,161,201600638,1,hou,6:15 PM,Fieldin Culbreth,Jim Reynolds,Nic Lentz,CB Bucknor,Minute Maid Park,"73 degrees, roof closed","0 mph, None",0
30460,3,tor,2016-05-21,139,201600639,5,min,1:10 PM,Mark Ripperger,Joe West,Andy Fletcher,Toby Basner,Target Field,"74 degrees, partly cloudy","4 mph, R to L",0
25839,2,was,2016-05-21,193,201600640,3,mia,7:15 PM,Tim Timmons,Mike Estabrook,Paul Emmel,Mike Everitt,Marlins Park,"76 degrees, roof closed","0 mph, None",0
43829,7,ari,2016-05-22,164,201600641,2,sln,1:16 PM,Marty Foster,Mike Muchlinski,Mike Winters,Mark Wegner,Busch Stadium,"80 degrees, sunny","9 mph, L to R",0
23367,0,atl,2016-05-22,155,201600642,5,phi,1:38 PM,Carlos Torres,Sam Holbrook,Gerry Davis,Rob Drake,Citizens Bank Park,"65 degrees, cloudy","7 mph, R to L",0
41280,2,bal,2016-05-22,153,201600643,10,ana,12:39 PM,Lance Barrett,John Tumpane,Dale Scott,Bob Davidson,Angel Stadium of Anaheim,"71 degrees, partly cloudy","7 mph, Out to CF",0
41359,0,chn,2016-05-22,153,201600644,1,sfn,5:08 PM,Dana DeMuth,Jordan Baker,Greg Gibson,Ed Hickox,AT&T Park,"59 degrees, cloudy","12 mph, Out to CF",0
36021,2,cle,2016-05-22,203,201600645,5,bos,1:35 PM,James Hoye,Chad Fairchild,Jim Joyce,Marvin Hudson,Fenway Park,"60 degrees, cloudy","13 mph, In from RF",0
34526,2,kca,2016-05-22,166,201600646,3,cha,1:10 PM,Jerry Layne,Hunter Wendelstedt,Gabe Morales,Scott Barry,U.S. Cellular Field,"72 degrees, sunny","9 mph, Out to CF",0
43100,9,lan,2016-05-22,347,201600647,5,sdn,1:43 PM,Larry Vanover,Alfonso Marquez,Chris Guccione,David Rackley,Petco Park,"68 degrees, partly cloudy","10 mph, L to R",0
40173,1,mil,2016-05-22,179,201600648,3,nyn,1:12 PM,Lance Barksdale,Jim Wolf,Adrian Johnson,Gary Cederstrom,Citi Field,"66 degrees, partly cloudy","7 mph, In from RF",0
25237,5,nya,2016-05-22,175,201600649,4,oak,1:07 PM,Todd Tichenor,Bill Miller,Pat Hoberg,Brian Knight,Oakland Coliseum,"63 degrees, cloudy","9 mph, Out to RF",0
24123,5,sea,2016-05-22,179,201600650,4,cin,1:10 PM,Adam Hamari,Tom Hallion,Tony Randazzo,Dan Bellino,Great American Ball Park,"74 degrees, sunny","9 mph, Out to CF",0
34758,4,tba,2016-05-22,183,201600651,9,det,1:10 PM,Chris Conroy,Jerry Meals,Ron Kulpa,Paul Nauert,Comerica Park,"68 degrees, sunny","13 mph, Out to RF",0
35035,9,tex,2016-05-22,156,201600652,2,hou,1:11 PM,Jim Reynolds,Nic Lentz,CB Bucknor,Fieldin Culbreth,Minute Maid Park,"73 degrees, roof closed","0 mph, None",0
33421,3,tor,2016-05-22,149,201600653,1,min,1:13 PM,Joe West,Andy Fletcher,Toby Basner,Mark Ripperger,Target Field,"79 degrees, sunny","18 mph, R to L",0
24308,8,was,2016-05-22,176,201600654,2,mia,1:12 PM,Mike Estabrook,Paul Emmel,Mike Everitt,Tim Timmons,Marlins Park,"77 degrees, roof closed","0 mph, None",0
25298,2,ana,2016-05-23,176,201600655,0,tex,7:07 PM,Ted Barrett,Ryan Blakney,Angel Hernandez,Will Little,Globe Life Park in Arlington,"80 degrees, partly cloudy","11 mph, R to L",0
45008,3,chn,2016-05-23,168,201600656,4,sln,7:16 PM,Jim Reynolds,CB Bucknor,Fieldin Culbreth,Manny Gonzalez,Busch Stadium,"79 degrees, clear","5 mph, R to L",0
42519,0,cin,2016-05-23,131,201600657,1,lan,7:10 PM,Bill Miller,Pat Hoberg,Brian Knight,Todd Tichenor,Dodger Stadium,"64 degrees, clear","7 mph, Out to CF",0
0,6,cle,2016-05-23,190,201600658,7,cha,4:10 PM,Gabe Morales,Kerwin Danley,Toby Basner,Joe West,U.S. Cellular Field,"82 degrees, clear","11 mph, In from LF",0
18323,5,cle,2016-05-23,160,201600659,1,cha,8:00 PM,Kerwin Danley,Toby Basner,Gabe Morales,Andy Fletcher,U.S. Cellular Field,"74 degrees, sunny","10 mph, In from LF",0
34529,3,col,2016-05-23,190,201600660,6,pit,12:37 PM,Ben May,Cory Blaser,Doug Eddings,Jeff Nelson,PNC Park,"70 degrees, sunny","4 mph, Out to LF",0
17886,10,kca,2016-05-23,209,201600661,4,min,7:11 PM,Mark Carlson,Jeff Kellogg,John Tumpane,Alan Porter,Target Field,"74 degrees, overcast","14 mph, R to L",41
31264,7,nyn,2016-05-23,153,201600662,1,was,8:12 PM,Vic Carapazza,D.J. Reyburn,John Hirschbeck,Bill Welke,Nationals Park,"61 degrees, cloudy","1 mph, Out to CF",67
16370,5,oak,2016-05-23,160,201600663,0,sea,7:10 PM,Dan Iassogna,Dale Scott,Bob Davidson,Lance Barrett,Safeco Field,"61 degrees, cloudy","5 mph, In from CF",0
26400,4,phi,2016-05-23,190,201600664,5,det,7:10 PM,Nic Lentz,Brian Gorman,Quinn Wolcott,Mike DiMuro,Comerica Park,"76 degrees, clear","11 mph, In from RF",0
42099,0,sdn,2016-05-23,157,201600665,1,sfn,7:14 PM,Mike Muchlinski,Mike Winters,Mark Wegner,Marty Foster,AT&T Park,"59 degrees, cloudy","13 mph, Out to CF",0
17969,6,tba,2016-05-23,191,201600666,7,mia,7:13 PM,Jim Wolf,Adrian Johnson,Gary Cederstrom,Lance Barksdale,Marlins Park,"75 degrees, roof closed","0 mph, None",0
26125,1,ana,2016-05-24,167,201600667,4,tex,7:08 PM,Ryan Blakney,Angel Hernandez,Will Little,Ted Barrett,Globe Life Park in Arlington,"84 degrees, cloudy","17 mph, R to L",0
18415,1,ari,2016-05-24,203,201600668,12,pit,7:08 PM,Chris Guccione,Sean Barber,Alfonso Marquez,Larry Vanover,PNC Park,"78 degrees, clear","9 mph, Out to LF",0
24783,2,bal,2016-05-24,254,201600669,3,hou,7:12 PM,Jordan Baker,Greg Gibson,Ed Hickox,Dana DeMuth,Minute Maid Park,"73 degrees, roof closed","0 mph, None",0
44588,12,chn,2016-05-24,190,201600670,3,sln,6:11 PM,CB Bucknor,Fieldin Culbreth,Manny Gonzalez,Jim Reynolds,Busch Stadium,"73 degrees, overcast","12 mph, R to L",0
42278,2,cin,2016-05-24,188,201600671,8,lan,7:10 PM,Pat Hoberg,Brian Knight,Todd Tichenor,Bill Miller,Dodger Stadium,"63 degrees, partly cloudy","6 mph, Out to CF",0
21550,6,cle,2016-05-24,171,201600672,2,cha,7:10 PM,Toby Basner,Joe West,Andy Fletcher,Kerwin Danley,U.S. Cellular Field,"72 degrees, clear","17 mph, R to L",0
36123,3,col,2016-05-24,175,201600673,8,bos,7:10 PM,Hunter Wendelstedt,Gabe Morales,Tripp Gibson III,Jerry Layne,Fenway Park,"53 degrees, cloudy","8 mph, In from LF",0
23541,7,kca,2016-05-24,187,201600674,4,min,7:11 PM,Jeff Kellogg,John Tumpane,Alan Porter,Mark Carlson,Target Field,"82 degrees, partly cloudy","5 mph, In from LF",0
15185,2,mil,2016-05-24,188,201600675,1,atl,7:10 PM,Tom Hallion,Tony Randazzo,Dan Bellino,Adam Hamari,Turner Field,"83 degrees, partly cloudy","3 mph, Out to RF",0
33096,4,nyn,2016-05-24,168,201600676,7,was,7:06 PM,D.J. Reyburn,John Hirschbeck,Bill Welke,Vic Carapazza,Nationals Park,"83 degrees, partly cloudy","8 mph, L to R",0
17471,5,oak,2016-05-24,192,201600677,6,sea,7:10 PM,Dale Scott,Bob Davidson,Lance Barrett,Dan Iassogna,Safeco Field,"63 degrees, cloudy","1 mph, Varies",0
26531,1,phi,2016-05-24,158,201600678,3,det,7:10 PM,Brian Gorman,Quinn Wolcott,Mike DiMuro,Nic Lentz,Comerica Park,"83 degrees, partly cloudy","3 mph, In from CF",0
41772,2,sdn,2016-05-24,171,201600679,8,sfn,7:15 PM,Mike Winters,Mark Wegner,Marty Foster,Mike Muchlinski,AT&T Park,"59 degrees, overcast","13 mph, Out to CF",0
23709,4,tba,2016-05-24,201,201600680,3,mia,12:11 PM,Adrian Johnson,Gary Cederstrom,Lance Barksdale,Jim Wolf,Marlins Park,"76 degrees, roof closed","0 mph, None",0
35174,0,tor,2016-05-24,160,201600681,6,nya,7:08 PM,Chad Fairchild,Jim Joyce,Marvin Hudson,James Hoye,Yankee Stadium,"69 degrees, overcast","3 mph, L to R",0
32480,9,ana,2016-05-25,214,201600682,15,tex,1:08 PM,Angel Hernandez,Will Little,Ted Barrett,Ryan Blakney,Globe Life Park in Arlington,"83 degrees, cloudy","15 mph, R to L",0
20696,4,ari,2016-05-25,185,201600683,5,pit,7:07 PM,Sean Barber,Alfonso Marquez,Larry Vanover,Chris Guccione,PNC Park,"81 degrees, clear","4 mph, R to L",0
25618,3,bal,2016-05-25,178,201600684,4,hou,7:10 PM,Greg Gibson,Ed Hickox,Dana DeMuth,Jordan Baker,Minute Maid Park,"73 degrees, roof closed","0 mph, None",0
45565,9,chn,2016-05-25,218,201600685,8,sln,12:47 PM,Fieldin Culbreth,Manny Gonzalez,Jim Reynolds,CB Bucknor,Busch Stadium,"74 degrees, partly cloudy","9 mph, R to L",0
44855,1,cin,2016-05-25,141,201600686,3,lan,7:10 PM,Brian Knight,Todd Tichenor,Bill Miller,Pat Hoberg,Dodger Stadium,"66 degrees, clear","8 mph, Out to RF",0
22561,4,cle,2016-05-25,182,201600687,3,cha,1:10 PM,Joe West,Andy Fletcher,Kerwin Danley,Toby Basner,U.S. Cellular Field,"82 degrees, partly cloudy","10 mph, In from RF",0
36430,3,col,2016-05-25,189,201600688,10,bos,7:11 PM,Gabe Morales,Tripp Gibson III,Jerry Layne,Hunter Wendelstedt,Fenway Park,"86 degrees, partly cloudy","9 mph, Out to RF",0
27233,5,kca,2016-05-25,168,201600689,7,min,12:35 PM,John Tumpane,Alan Porter,Mark Carlson,Jeff Kellogg,Target Field,"69 degrees, cloudy","7 mph, In from CF",0
13554,4,mia,2016-05-25,202,201600690,3,tba,7:10 PM,Gary Cederstrom,Lance Barksdale,Jim Wolf,Adrian Johnson,Tropicana Field,"72 degrees, dome","0 mph, None",0
12869,3,mil,2016-05-25,291,201600691,2,atl,7:09 PM,Tony Randazzo,Dan Bellino,Adam Hamari,Tom Hallion,Turner Field,"84 degrees, partly cloudy","9 mph, Out to CF",0
38700,2,nyn,2016-05-25,158,201600692,0,was,1:05 PM,John Hirschbeck,Bill Welke,Vic Carapazza,D.J. Reyburn,Nationals Park,"83 degrees, cloudy","7 mph, L to R",0
19227,3,oak,2016-05-25,167,201600693,13,sea,7:10 PM,Bob Davidson,Lance Barrett,Dan Iassogna,Dale Scott,Safeco Field,"62 degrees, cloudy","2 mph, Out to CF",0
31187,8,phi,2016-05-25,191,201600694,5,det,1:11 PM,Quinn Wolcott,Mike DiMuro,Nic Lentz,Brian Gorman,Comerica Park,"82 degrees, sunny","12 mph, R to L",0
41363,3,sdn,2016-05-25,202,201600695,4,sfn,12:45 PM,Mark Wegner,Marty Foster,Mike Muchlinski,Mike Winters,AT&T Park,"60 degrees, overcast","8 mph, R to L",0
38959,8,tor,2016-05-25,179,201600696,4,nya,7:08 PM,Jim Joyce,Marvin Hudson,James Hoye,Chad Fairchild,Yankee Stadium,"86 degrees, clear","8 mph, Out to LF",0
30861,3,ari,2016-05-26,220,201600697,8,pit,12:39 PM,Sean Barber,Larry Vanover,Ben May,Alfonso Marquez,PNC Park,"78 degrees, partly cloudy","10 mph, In from RF",0
23826,2,bal,2016-05-26,183,201600698,4,hou,7:10 PM,Ed Hickox,Dana DeMuth,Jordan Baker,Greg Gibson,Minute Maid Park,"73 degrees, roof closed","0 mph, None",0
36162,8,col,2016-05-26,171,201600699,2,bos,7:12 PM,Tripp Gibson III,Jerry Layne,Hunter Wendelstedt,Gabe Morales,Fenway Park,"63 degrees, cloudy","12 mph, R to L",0
11399,9,mia,2016-05-26,171,201600700,1,tba,1:10 PM,Lance Barksdale,Jim Wolf,Adrian Johnson,Gary Cederstrom,Tropicana Field,"72 degrees, dome","0 mph, None",0
14885,6,mil,2016-05-26,185,201600701,2,atl,7:10 PM,Dan Bellino,Adam Hamari,Tom Hallion,Tony Randazzo,Turner Field,"85 degrees, partly cloudy","6 mph, Out to LF",77
26176,1,sln,2016-05-26,147,201600702,2,was,7:05 PM,Alan Porter,Mark Carlson,Jeff Kellogg,John Tumpane,Nationals Park,"83 degrees, partly cloudy","4 mph, Out to LF",0
38391,3,tor,2016-05-26,154,201600703,1,nya,4:07 PM,Marvin Hudson,James Hoye,Chad Fairchild,Jim Joyce,Yankee Stadium,"85 degrees, sunny","10 mph, R to L",0
21054,6,bal,2016-05-27,189,201600704,4,cle,7:11 PM,Jim Wolf,Adrian Johnson,Gary Cederstrom,Lance Barksdale,Progressive Field,"72 degrees, partly cloudy","10 mph, In from RF",0
46470,5,bos,2016-05-27,173,201600705,7,tor,7:07 PM,Mike DiMuro,Nic Lentz,Brian Gorman,Quinn Wolcott,Rogers Centre,"68 degrees, cloudy","5 mph, Out to CF",0
28508,5,cha,2016-05-27,178,201600706,7,kca,7:14 PM,Will Little,Ted Barrett,Ryan Blakney,Angel Hernandez,Kauffman Stadium,"73 degrees, cloudy","9 mph, R to L",0
20441,5,cin,2016-05-27,173,201600707,9,mil,7:11 PM,James Hoye,Chad Fairchild,Jim Joyce,Marvin Hudson,Miller Park,"74 degrees, overcast","10 mph, In from RF",0
22498,4,det,2016-05-27,160,201600708,1,oak,7:07 PM,Andy Fletcher,Ramon De Jesus,Kerwin Danley,Joe West,Oakland Coliseum,"69 degrees, partly cloudy","11 mph, Out to RF",0
39047,2,hou,2016-05-27,158,201600709,7,ana,7:09 PM,Vic Carapazza,Pat Hoberg,D.J. Reyburn,John Hirschbeck,Angel Stadium of Anaheim,"67 degrees, clear","10 mph, R to L",0
43462,5,lan,2016-05-27,183,201600710,6,nyn,7:11 PM,Adam Hamari,Tom Hallion,Phil Cuzzi,Dan Bellino,Citi Field,"77 degrees, partly cloudy","9 mph, Out to LF",0
19325,2,mia,2016-05-27,193,201600711,4,atl,7:36 PM,Ben May,Alfonso Marquez,David Rackley,Dan Iassogna,Turner Field,"82 degrees, partly cloudy","10 mph, R to L",0
40921,7,min,2016-05-27,156,201600712,2,sea,7:10 PM,Marty Foster,Mike Muchlinski,Mike Winters,Mark Wegner,Safeco Field,"59 degrees, roof closed","1 mph, Varies",0
14697,4,nya,2016-05-27,156,201600713,1,tba,7:10 PM,Jerry Layne,Hunter Wendelstedt,Gabe Morales,Tripp Gibson III,Tropicana Field,"72 degrees, dome","0 mph, None",0
38941,2,phi,2016-05-27,184,201600714,6,chn,1:21 PM,Lance Barrett,Sean Barber,Dale Scott,Bob Davidson,Wrigley Field,"76 degrees, cloudy","8 mph, Out to LF",93
37645,9,pit,2016-05-27,184,201600715,1,tex,7:08 PM,Dana DeMuth,Clint Fagan,Greg Gibson,Ed Hickox,Globe Life Park in Arlington,"80 degrees, partly cloudy","12 mph, In from CF",0
24935,10,sdn,2016-05-27,199,201600716,3,ari,6:40 PM,Todd Tichenor,Bill Miller,Tony Randazzo,Brian Knight,Chase Field,"92 degrees, clear","9 mph, L to R",0
32901,2,sfn,2016-05-27,162,201600717,5,col,7:22 PM,Manny Gonzalez,Jim Reynolds,CB Bucknor,Fieldin Culbreth,Coors Field,"56 degrees, partly cloudy","9 mph, In from CF",42
30781,6,sln,2016-05-27,152,201600718,2,was,7:06 PM,Mark Carlson,Jeff Kellogg,John Tumpane,Alan Porter,Nationals Park,"86 degrees, partly cloudy","11 mph, Out to LF",0
21110,4,bal,2016-05-28,182,201600719,11,cle,4:10 PM,Adrian Johnson,Gary Cederstrom,Lance Barksdale,Jim Wolf,Progressive Field,"86 degrees, partly cloudy","8 mph, Out to RF",22
48154,9,bos,2016-05-28,217,201600720,10,tor,1:08 PM,Nic Lentz,Carlos Torres,Brian Gorman,Mike DiMuro,Rogers Centre,"71 degrees, sunny","6 mph, R to L",0
31598,7,cha,2016-05-28,202,201600721,8,kca,1:14 PM,Ted Barrett,Ryan Blakney,Angel Hernandez,Will Little,Kauffman Stadium,"74 degrees, partly cloudy","14 mph, L to R",0
30293,7,cin,2016-05-28,226,201600722,6,mil,3:12 PM,Chad Fairchild,Jim Joyce,Marvin Hudson,James Hoye,Miller Park,"81 degrees, sunny","17 mph, In from RF",0
24154,3,det,2016-05-28,177,201600723,12,oak,1:07 PM,Ramon De Jesus,Kerwin Danley,Joe West,Andy Fletcher,Oakland Coliseum,"77 degrees, partly cloudy","13 mph, Out to RF",0
38176,4,hou,2016-05-28,166,201600724,2,ana,7:09 PM,Pat Hoberg,D.J. Reyburn,John Hirschbeck,Vic Carapazza,Angel Stadium of Anaheim,"68 degrees, partly cloudy","10 mph, Out to RF",0
42227,9,lan,2016-05-28,192,201600725,1,nyn,7:16 PM,Tom Hallion,Phil Cuzzi,Dan Bellino,Adam Hamari,Citi Field,"84 degrees, partly cloudy","10 mph, Out to LF",0
33879,2,mia,2016-05-28,195,201600726,7,atl,4:10 PM,Alfonso Marquez,David Rackley,Dan Iassogna,Ben May,Turner Field,"85 degrees, sunny","9 mph, R to L",0
28309,6,min,2016-05-28,210,201600727,5,sea,7:10 PM,Mike Muchlinski,Mike Winters,Mark Wegner,Marty Foster,Safeco Field,"59 degrees, roof closed","2 mph, In from CF",0
20188,5,nya,2016-05-28,195,201600728,9,tba,4:11 PM,Hunter Wendelstedt,Gabe Morales,Tripp Gibson III,Jerry Layne,Tropicana Field,"72 degrees, dome","0 mph, None",0
41555,1,phi,2016-05-28,138,201600729,4,chn,1:21 PM,Sean Barber,Dale Scott,Bob Davidson,Lance Barrett,Wrigley Field,"75 degrees, partly cloudy","18 mph, Out to CF",0
46950,2,pit,2016-05-28,188,201600730,5,tex,6:16 PM,Clint Fagan,Greg Gibson,Ed Hickox,Dana DeMuth,Globe Life Park in Arlington,"87 degrees, partly cloudy","11 mph, In from CF",0
23927,7,sdn,2016-05-28,201,201600731,8,ari,7:10 PM,Bill Miller,Tony Randazzo,Brian Knight,Todd Tichenor,Chase Field,"99 degrees, clear","9 mph, Out to CF",0
39253,10,sfn,2016-05-28,207,201600732,5,col,2:11 PM,Jim Reynolds,CB Bucknor,Fieldin Culbreth,Manny Gonzalez,Coors Field,"73 degrees, partly cloudy","6 mph, R to L",0
38274,9,sln,2016-05-28,180,201600733,4,was,7:17 PM,Jeff Kellogg,John Tumpane,Alan Porter,Mark Carlson,Nationals Park,"87 degrees, clear","6 mph, Out to CF",0
18565,6,bal,2016-05-29,194,201600734,4,cle,1:11 PM,Gary Cederstrom,Lance Barksdale,Jim Wolf,Adrian Johnson,Progressive Field,"83 degrees, cloudy","11 mph, Out to RF",0
47916,5,bos,2016-05-29,247,201600735,3,tor,1:18 PM,Carlos Torres,Sam Holbrook,Brian Gorman,Nic Lentz,Rogers Centre,"75 degrees, sunny","7 mph, Out to CF",0
36624,4,cha,2016-05-29,184,201600736,5,kca,1:17 PM,Ryan Blakney,Angel Hernandez,Will Little,Ted Barrett,Kauffman Stadium,"85 degrees, sunny","4 mph, L to R",0
34901,4,cin,2016-05-29,190,201600737,5,mil,1:12 PM,Jim Joyce,Marvin Hudson,James Hoye,Chad Fairchild,Miller Park,"78 degrees, cloudy","16 mph, Out to RF",0
20522,2,det,2016-05-29,168,201600738,4,oak,1:07 PM,Kerwin Danley,Joe West,Andy Fletcher,Ramon De Jesus,Oakland Coliseum,"70 degrees, sunny","10 mph, Out to RF",0
36538,8,hou,2016-05-29,297,201600739,6,ana,12:37 PM,D.J. Reyburn,John Hirschbeck,Vic Carapazza,Pat Hoberg,Angel Stadium of Anaheim,"69 degrees, cloudy","5 mph, Out to CF",0
42287,4,lan,2016-05-29,185,201600740,2,nyn,8:08 PM,Phil Cuzzi,Dan Bellino,Adam Hamari,Tom Hallion,Citi Field,"74 degrees, partly cloudy","17 mph, Out to LF",0
50247,7,mia,2016-05-29,198,201600741,3,atl,5:07 PM,David Rackley,Dan Iassogna,Ben May,Alfonso Marquez,Turner Field,"87 degrees, partly cloudy","11 mph, L to R",0
33748,5,min,2016-05-29,171,201600742,4,sea,1:10 PM,Mike Winters,Mark Wegner,Marty Foster,Mike Muchlinski,Safeco Field,"56 degrees, roof closed","1 mph, Varies",0
19748,2,nya,2016-05-29,165,201600743,1,tba,1:10 PM,Gabe Morales,Tripp Gibson III,Jerry Layne,Hunter Wendelstedt,Tropicana Field,"72 degrees, dome","0 mph, None",0
41575,2,phi,2016-05-29,170,201600744,7,chn,1:21 PM,Dale Scott,Bob Davidson,Lance Barrett,Sean Barber,Wrigley Field,"76 degrees, partly cloudy","20 mph, Out to RF",0
44613,2,pit,2016-05-29,167,201600745,6,tex,2:08 PM,Greg Gibson,Ed Hickox,Dana DeMuth,Clint Fagan,Globe Life Park in Arlington,"85 degrees, partly cloudy","7 mph, In from CF",0
21458,3,sdn,2016-05-29,159,201600746,6,ari,1:10 PM,Tony Randazzo,Brian Knight,Todd Tichenor,Bill Miller,Chase Field,"74 degrees, roof closed","0 mph, None",0
42307,8,sfn,2016-05-29,205,201600747,3,col,2:10 PM,CB Bucknor,Fieldin Culbreth,Manny Gonzalez,Jim Reynolds,Coors Field,"74 degrees, partly cloudy","5 mph, In from RF",0
38898,2,sln,2016-05-29,192,201600748,10,was,1:38 PM,John Tumpane,Alan Porter,Mark Carlson,Jeff Kellogg,Nationals Park,"84 degrees, cloudy","6 mph, Out to LF",0
43926,7,bos,2016-05-30,174,201600749,2,bal,1:40 PM,Cory Blaser,Doug Eddings,Jeff Nelson,Laz Diaz,Oriole Park at Camden Yards,"81 degrees, partly cloudy","2 mph, R to L",0
38339,0,cha,2016-05-30,154,201600750,1,nyn,1:10 PM,Sam Holbrook,Gerry Davis,Rob Drake,Carlos Torres,Citi Field,"79 degrees, cloudy","1 mph, Varies",0
30608,11,cin,2016-05-30,205,201600751,8,col,2:13 PM,Mark Wegner,Ryan Blakney,Marty Foster,Mike Winters,Coors Field,"80 degrees, partly cloudy","4 mph, Out to LF",0
38541,1,det,2016-05-30,166,201600752,5,ana,6:07 PM,Brian Knight,Todd Tichenor,Bill Miller,Tony Randazzo,Angel Stadium of Anaheim,"71 degrees, clear","8 mph, Out to CF",0
24798,8,hou,2016-05-30,174,201600753,3,ari,1:10 PM,Jerry Meals,Sean Barber,Ron Kulpa,Chris Conroy,Chase Field,"74 degrees, roof closed","0 mph, None",0
41470,0,lan,2016-05-30,160,201600754,2,chn,4:05 PM,Jim Wolf,Adrian Johnson,Nic Lentz,Paul Emmel,Wrigley Field,"70 degrees, sunny","12 mph, Out to LF",0
17248,2,min,2016-05-30,152,201600755,3,oak,1:07 PM,Tim Timmons,Mike Everitt,Pat Hoberg,Jordan Baker,Oakland Coliseum,"68 degrees, partly cloudy","10 mph, Out to RF",0
32921,2,nya,2016-05-30,146,201600756,4,tor,7:07 PM,CB Bucknor,Fieldin Culbreth,Jim Reynolds,Scott Barry,Rogers Centre,"78 degrees, clear","13 mph, In from LF",0
10856,10,pit,2016-05-30,157,201600757,0,mia,7:12 PM,Marvin Hudson,James Hoye,Chad Fairchild,Jim Joyce,Marlins Park,"75 degrees, roof closed","0 mph, None",0
29764,3,sdn,2016-05-30,176,201600758,9,sea,1:10 PM,Kerwin Danley,Joe West,Ramon De Jesus,Mark Ripperger,Safeco Field,"63 degrees, overcast","6 mph, Out to RF",0
23147,3,sfn,2016-05-30,157,201600759,5,atl,1:10 PM,Alan Porter,Paul Nauert,Jeff Kellogg,John Tumpane,Turner Field,"88 degrees, partly cloudy","5 mph, L to R",0
